ccd_code,missing_from_set1,missing_from_set2,missing_from_both
A1BIZ,N,Y,N
A1BJ0,N,Y,N
A1BJ1,N,Y,N
A1BJ2,N,Y,N
A1BJ3,N,Y,N
A1BJ4,N,Y,N
A1BJ5,N,Y,N
A1BJ6,N,Y,N
A1BJ7,N,Y,N
A1BJ8,N,Y,N
A1BJ9,N,Y,N
A1BJA,N,Y,N
A1BJB,N,Y,N
A1BJC,N,Y,N
A1BJD,N,Y,N
A1BJE,N,Y,N
A1BJH,N,Y,N
A1BJI,N,Y,N
A1BJJ,N,Y,N
A1BJK,N,Y,N
A1BJL,N,Y,N
A1BJM,N,Y,N
A1BJN,N,Y,N
A1BJO,N,Y,N
A1BJP,N,Y,N
A1BJQ,N,Y,N
A1BJR,N,Y,N
A1BJS,N,Y,N
A1BJT,N,Y,N
A1BJU,N,Y,N
A1BJV,N,Y,N
A1BJW,N,Y,N
A1BJX,N,Y,N
A1BJY,N,Y,N
A1BJZ,N,Y,N
A1BK0,N,Y,N
A1BK3,N,Y,N
A1BK4,N,Y,N
A1BK9,N,Y,N
A1BKA,N,Y,N
A1BKB,N,Y,N
A1BKC,N,Y,N
A1BKD,N,Y,N
A1BKE,N,Y,N
A1BKF,N,Y,N
A1BKG,N,Y,N
A1BKH,N,Y,N
A1BKI,N,Y,N
A1BKK,N,Y,N
A1BKL,N,Y,N
A1BKM,N,Y,N
A1BKN,N,Y,N
A1BKO,N,Y,N
A1BKP,N,Y,N
A1BKQ,N,Y,N
A1BKS,N,Y,N
A1BKT,N,Y,N
A1BKU,N,Y,N
A1BKV,N,Y,N
A1BKW,N,Y,N
A1BKX,N,Y,N
A1BKY,N,Y,N
A1BKZ,N,Y,N
A1BLA,N,Y,N
A1BLB,N,Y,N
A1BLC,N,Y,N
A1BLD,N,Y,N
A1BLF,N,Y,N
A1BLG,N,Y,N
A1BLH,N,Y,N
A1BLI,N,Y,N
A1BLJ,N,Y,N
A1BLK,N,Y,N
A1BLL,N,Y,N
A1BLM,N,Y,N
A1BLN,N,Y,N
A1BLO,N,Y,N
A1BLP,N,Y,N
A1BLQ,N,Y,N
A1BLR,N,Y,N
A1BLT,N,Y,N
A1BLV,N,Y,N
A1BLX,N,Y,N
A1BLY,N,Y,N
A1BLZ,N,Y,N
A1BM0,N,Y,N
A1BM1,N,Y,N
A1BM2,N,Y,N
A1BM3,N,Y,N
A1BM4,N,Y,N
A1BM5,N,Y,N
A1BM6,N,Y,N
A1BM8,N,Y,N
A1BM9,N,Y,N
A1BMD,N,Y,N
A1BME,N,Y,N
A1BMF,N,Y,N
A1BMG,N,Y,N
A1BMH,N,Y,N
A1BML,N,Y,N
A1BMM,N,Y,N
A1BMN,N,Y,N
A1BMO,N,Y,N
A1BMP,N,Y,N
A1BMQ,N,Y,N
A1BMR,N,Y,N
A1BMS,N,Y,N
A1BMT,N,Y,N
A1BMU,N,Y,N
A1BMV,N,Y,N
A1BMW,N,Y,N
A1BMX,N,Y,N
A1BMY,N,Y,N
A1BMZ,N,Y,N
A1BN0,N,Y,N
A1BN1,N,Y,N
A1BN2,N,Y,N
A1BN3,N,Y,N
A1BN4,N,Y,N
A1BN5,N,Y,N
A1BN6,N,Y,N
A1BN7,N,Y,N
A1BN8,N,Y,N
A1BN9,N,Y,N
A1BNA,N,Y,N
A1BNB,N,Y,N
A1BNE,N,Y,N
A1BNI,N,Y,N
A1BNJ,N,Y,N
A1BNK,N,Y,N
A1BNM,N,Y,N
A1BNN,N,Y,N
A1BNO,N,Y,N
A1BNP,N,Y,N
A1BNQ,N,Y,N
A1BNR,N,Y,N
A1BNT,N,Y,N
A1BNU,N,Y,N
A1BNV,N,Y,N
A1BNX,N,Y,N
A1BNY,N,Y,N
A1BNZ,N,Y,N
A1BO0,N,Y,N
A1BO1,N,Y,N
A1BO2,N,Y,N
A1BO3,N,Y,N
A1BO4,N,Y,N
A1BO5,N,Y,N
A1BO6,N,Y,N
A1BO7,N,Y,N
A1BO8,N,Y,N
A1BO9,N,Y,N
A1BOB,N,Y,N
A1BOC,N,Y,N
A1BOD,N,Y,N
A1BOE,N,Y,N
A1BOF,N,Y,N
A1BOG,N,Y,N
A1BOH,N,Y,N
A1BOI,N,Y,N
A1BOJ,N,Y,N
A1BOK,N,Y,N
A1BOL,N,Y,N
A1BOM,N,Y,N
A1BON,N,Y,N
A1BOO,N,Y,N
A1BOP,N,Y,N
A1BOQ,N,Y,N
A1BOR,N,Y,N
A1BOS,N,Y,N
A1BOT,N,Y,N
A1BOU,N,Y,N
A1BOV,N,Y,N
A1BOW,N,Y,N
A1BOX,N,Y,N
A1BOY,N,Y,N
A1BOZ,N,Y,N
A1BP0,N,Y,N
A1BP1,N,Y,N
A1BP2,N,Y,N
A1BP3,N,Y,N
A1BP4,N,Y,N
A1BP5,N,Y,N
A1BP6,N,Y,N
A1BP7,N,Y,N
A1BP8,N,Y,N
A1BP9,N,Y,N
A1BPA,N,Y,N
A1BPB,N,Y,N
A1BPC,N,Y,N
A1BPD,N,Y,N
A1BPE,N,Y,N
A1BPF,N,Y,N
A1BPG,N,Y,N
A1BPH,N,Y,N
A1BPI,N,Y,N
A1BPJ,N,Y,N
A1BPK,N,Y,N
A1BPL,N,Y,N
A1BPM,N,Y,N
A1BPN,N,Y,N
A1BPP,N,Y,N
A1BPR,N,Y,N
A1BPS,N,Y,N
A1BPT,N,Y,N
A1BPU,N,Y,N
A1BPV,N,Y,N
A1BPW,N,Y,N
A1BPX,N,Y,N
A1BPY,N,Y,N
A1BPZ,N,Y,N
A1BQ0,N,Y,N
A1BQ1,N,Y,N
A1BQ2,N,Y,N
A1BQ3,N,Y,N
A1BQ4,N,Y,N
A1BQ5,N,Y,N
A1BQ7,N,Y,N
A1BQ8,N,Y,N
A1BQ9,N,Y,N
A1BQA,N,Y,N
A1BQB,N,Y,N
A1BQC,N,Y,N
A1BQD,N,Y,N
A1BQE,N,Y,N
A1BQF,N,Y,N
A1BQG,N,Y,N
A1BQH,N,Y,N
A1BQI,N,Y,N
A1BQJ,N,Y,N
A1BQK,N,Y,N
A1BQL,N,Y,N
A1BQM,N,Y,N
A1BQN,N,Y,N
A1BQO,N,Y,N
A1BQP,N,Y,N
A1BQQ,N,Y,N
A1BQR,N,Y,N
A1BQS,N,Y,N
A1BQT,N,Y,N
A1BQU,N,Y,N
A1BQV,N,Y,N
A1BQW,N,Y,N
A1BQY,N,Y,N
A1BQZ,N,Y,N
A1BR0,N,Y,N
A1BR1,N,Y,N
A1BR2,N,Y,N
A1BR3,N,Y,N
A1BR4,N,Y,N
A1BR5,N,Y,N
A1BR6,N,Y,N
A1BR7,N,Y,N
A1BR8,N,Y,N
A1BRA,N,Y,N
A1BRB,N,Y,N
A1BRC,N,Y,N
A1BRD,N,Y,N
A1BRE,N,Y,N
A1BRF,N,Y,N
A1BRH,N,Y,N
A1BRI,N,Y,N
A1BRJ,N,Y,N
A1BRK,N,Y,N
A1BRL,N,Y,N
A1BRM,N,Y,N
A1BRN,N,Y,N
A1BRO,N,Y,N
A1BRP,N,Y,N
A1BRQ,N,Y,N
A1BRR,N,Y,N
A1BRS,N,Y,N
A1BRT,N,Y,N
A1BRU,N,Y,N
A1BRV,N,Y,N
A1BRW,N,Y,N
A1BRX,N,Y,N
A1BRY,N,Y,N
A1BRZ,N,Y,N
A1BS0,N,Y,N
A1BS1,N,Y,N
A1BS2,N,Y,N
A1BS3,N,Y,N
A1BS4,N,Y,N
A1BS5,N,Y,N
A1BS6,N,Y,N
A1BS7,N,Y,N
A1BS8,N,Y,N
A1BS9,N,Y,N
A1BSA,N,Y,N
A1BSB,N,Y,N
A1BSC,N,Y,N
A1BSD,N,Y,N
A1BSE,N,Y,N
A1BSF,N,Y,N
A1BSG,N,Y,N
A1BSH,N,Y,N
A1BSI,N,Y,N
A1BSJ,N,Y,N
A1BSK,N,Y,N
A1BSL,N,Y,N
A1BSN,N,Y,N
A1BSP,N,Y,N
A1BSQ,N,Y,N
A1BSR,N,Y,N
A1BSS,N,Y,N
A1BST,N,Y,N
A1BSU,N,Y,N
A1BSW,N,Y,N
A1BSX,N,Y,N
A1BSY,N,Y,N
A1BSZ,N,Y,N
A1BT0,N,Y,N
A1BT1,N,Y,N
A1BT2,N,Y,N
A1BT3,N,Y,N
A1BT4,N,Y,N
A1BT5,N,Y,N
A1BT6,N,Y,N
A1BT7,N,Y,N
A1BT9,N,Y,N
A1BTB,N,Y,N
A1BTC,N,Y,N
A1BTD,N,Y,N
A1BTF,N,Y,N
A1BTG,N,Y,N
A1BTH,N,Y,N
A1BTI,N,Y,N
A1BTJ,N,Y,N
A1BTK,N,Y,N
A1BTM,N,Y,N
A1BTN,N,Y,N
A1BTO,N,Y,N
A1BTP,N,Y,N
A1BTU,N,Y,N
A1BTV,N,Y,N
A1BTW,N,Y,N
A1BTX,N,Y,N
A1BTY,N,Y,N
A1BTZ,N,Y,N
A1BU3,N,Y,N
A1BU4,N,Y,N
A1BU5,N,Y,N
A1BU6,N,Y,N
A1BU8,N,Y,N
A1BU9,N,Y,N
A1BUA,N,Y,N
A1BUB,N,Y,N
A1BUC,N,Y,N
A1BUD,N,Y,N
A1BUF,N,Y,N
A1BUH,N,Y,N
A1BUJ,N,Y,N
A1BUL,N,Y,N
A1BV0,N,Y,N
A1BV1,N,Y,N
A1BV2,N,Y,N
A1BV3,N,Y,N
A1BV4,N,Y,N
A1BV5,N,Y,N
A1BV7,N,Y,N
A1BV8,N,Y,N
A1BV9,N,Y,N
A1BVA,N,Y,N
A1BVL,N,Y,N
A1BVM,N,Y,N
A1BVQ,N,Y,N
A1BVR,N,Y,N
A1BVT,N,Y,N
A1BVU,N,Y,N
A1BVV,N,Y,N
A1BVW,N,Y,N
A1BVY,N,Y,N
A1BVZ,N,Y,N
A1BW0,N,Y,N
A1BW1,N,Y,N
A1BW2,N,Y,N
A1BW4,N,Y,N
A1BW5,N,Y,N
A1BW6,N,Y,N
A1BW7,N,Y,N
A1BW8,N,Y,N
A1BW9,N,Y,N
A1BWA,N,Y,N
A1BWC,N,Y,N
A1BWF,N,Y,N
A1BWI,N,Y,N
A1BWJ,N,Y,N
A1BWL,N,Y,N
A1BWM,N,Y,N
A1BWO,N,Y,N
A1BWS,N,Y,N
A1BWT,N,Y,N
A1BWW,N,Y,N
A1BWX,N,Y,N
A1BWY,N,Y,N
A1BWZ,N,Y,N
A1BX0,N,Y,N
A1BX4,N,Y,N
A1BX5,N,Y,N
A1BX6,N,Y,N
A1BXA,N,Y,N
A1BXB,N,Y,N
A1BXC,N,Y,N
A1BXD,N,Y,N
A1BXE,N,Y,N
A1BXF,N,Y,N
A1BXG,N,Y,N
A1BXH,N,Y,N
A1BXI,N,Y,N
A1BXJ,N,Y,N
A1BXL,N,Y,N
A1BXM,N,Y,N
A1BXN,N,Y,N
A1BXO,N,Y,N
A1BXP,N,Y,N
A1BXQ,N,Y,N
A1BXR,N,Y,N
A1BXS,N,Y,N
A1BXV,N,Y,N
A1BXY,N,Y,N
A1BXZ,N,Y,N
A1BY8,N,Y,N
A1BY9,N,Y,N
A1BYB,N,Y,N
A1BYC,N,Y,N
A1BYD,N,Y,N
A1BYF,N,Y,N
A1BYG,N,Y,N
A1BYI,N,Y,N
A1BYK,N,Y,N
A1BYL,N,Y,N
A1BYN,N,Y,N
A1BYO,N,Y,N
A1BYP,N,Y,N
A1BYS,N,Y,N
A1BYT,N,Y,N
A1BYU,N,Y,N
A1BYV,N,Y,N
A1BYX,N,Y,N
A1BYY,N,Y,N
A1BYZ,N,Y,N
A1BZA,N,Y,N
A1BZB,N,Y,N
A1BZC,N,Y,N
A1BZD,N,Y,N
A1BZE,N,Y,N
A1BZF,N,Y,N
A1BZK,N,Y,N
A1BZM,N,Y,N
A1BZO,N,Y,N
A1BZP,N,Y,N
A1BZQ,N,Y,N
A1C0G,N,Y,N
A1C0H,N,Y,N
A1C0I,N,Y,N
A1C0J,N,Y,N
A1C0K,N,Y,N
A1C1V,N,Y,N
A1C2U,N,Y,N
A1C3L,N,Y,N
A1C3M,N,Y,N
A1C3V,N,Y,N
A1CA1,N,Y,N
A1CA2,N,Y,N
A1CA3,N,Y,N
A1CA4,N,Y,N
A1CA5,N,Y,N
A1CA8,N,Y,N
A1CA9,N,Y,N
A1CAA,N,Y,N
A1CAB,N,Y,N
A1CAC,N,Y,N
A1CAD,N,Y,N
A1CAE,N,Y,N
A1CAF,N,Y,N
A1CAG,N,Y,N
A1CAH,N,Y,N
A1CAI,N,Y,N
A1CAJ,N,Y,N
A1CAN,N,Y,N
A1CAO,N,Y,N
A1CAV,N,Y,N
A1CAW,N,Y,N
A1CAY,N,Y,N
A1CAZ,N,Y,N
A1CB0,N,Y,N
A1CB1,N,Y,N
A1CB4,N,Y,N
A1CB5,N,Y,N
A1CB6,N,Y,N
A1CB7,N,Y,N
A1CB8,N,Y,N
A1CB9,N,Y,N
A1CBB,N,Y,N
A1CBC,N,Y,N
A1CBD,N,Y,N
A1CBE,N,Y,N
A1CBG,N,Y,N
A1CBH,N,Y,N
A1CBI,N,Y,N
A1CBJ,N,Y,N
A1CBK,N,Y,N
A1CBL,N,Y,N
A1CBM,N,Y,N
A1CBU,N,Y,N
A1CBX,N,Y,N
A1CBZ,N,Y,N
A1CC2,N,Y,N
A1CC3,N,Y,N
A1CC5,N,Y,N
A1CC6,N,Y,N
A1CC9,N,Y,N
A1CCA,N,Y,N
A1CCE,N,Y,N
A1CCP,N,Y,N
A1CCQ,N,Y,N
A1CCR,N,Y,N
A1CCS,N,Y,N
A1CCU,N,Y,N
A1CCV,N,Y,N
A1CCW,N,Y,N
A1CCY,N,Y,N
A1CCZ,N,Y,N
A1CD0,N,Y,N
A1CD1,N,Y,N
A1CD2,N,Y,N
A1CD5,N,Y,N
A1CD7,N,Y,N
A1CDA,N,Y,N
A1CDL,N,Y,N
A1CDM,N,Y,N
A1CDN,N,Y,N
A1CDO,N,Y,N
A1CDP,N,Y,N
A1CDQ,N,Y,N
A1CDR,N,Y,N
A1CDS,N,Y,N
A1CDT,N,Y,N
A1CDU,N,Y,N
A1CDV,N,Y,N
A1CDW,N,Y,N
A1CDX,N,Y,N
A1CDY,N,Y,N
A1CDZ,N,Y,N
A1CE0,N,Y,N
A1CE1,N,Y,N
A1CE5,N,Y,N
A1CEA,N,Y,N
A1CEB,N,Y,N
A1CEC,N,Y,N
A1CEF,N,Y,N
A1CEG,N,Y,N
A1CEH,N,Y,N
A1CEI,N,Y,N
A1CEJ,N,Y,N
A1CEK,N,Y,N
A1CEL,N,Y,N
A1CEM,N,Y,N
A1CEO,N,Y,N
A1CEQ,N,Y,N
A1CER,N,Y,N
A1CET,N,Y,N
A1CEV,N,Y,N
A1CEW,N,Y,N
A1CEX,N,Y,N
A1CEY,N,Y,N
A1CEZ,N,Y,N
A1CF0,N,Y,N
A1CF1,N,Y,N
A1CF5,N,Y,N
A1CF8,N,Y,N
A1CFC,N,Y,N
A1CFD,N,Y,N
A1CFE,N,Y,N
A1CFF,N,Y,N
A1CFG,N,Y,N
A1CFM,N,Y,N
A1CFR,N,Y,N
A1CFS,N,Y,N
A1CFT,N,Y,N
A1CFV,N,Y,N
A1CFW,N,Y,N
A1CFX,N,Y,N
A1CFY,N,Y,N
A1CFZ,N,Y,N
A1CG0,N,Y,N
A1CG3,N,Y,N
A1CG4,N,Y,N
A1CG5,N,Y,N
A1CG7,N,Y,N
A1CG9,N,Y,N
A1CGC,N,Y,N
A1CGG,N,Y,N
A1CGJ,N,Y,N
A1CGK,N,Y,N
A1CGN,N,Y,N
A1CGO,N,Y,N
A1CGP,N,Y,N
A1CGQ,N,Y,N
A1CGR,N,Y,N
A1CGS,N,Y,N
A1CGT,N,Y,N
A1CGV,N,Y,N
A1CGW,N,Y,N
A1CGZ,N,Y,N
A1CH1,N,Y,N
A1CH2,N,Y,N
A1CH3,N,Y,N
A1CH4,N,Y,N
A1CH5,N,Y,N
A1CH6,N,Y,N
A1CH7,N,Y,N
A1CHB,N,Y,N
A1CHN,N,Y,N
A1CHO,N,Y,N
A1CI0,N,Y,N
A1CI6,N,Y,N
A1CI7,N,Y,N
A1CI8,N,Y,N
A1CI9,N,Y,N
A1CIF,N,Y,N
A1CIL,N,Y,N
A1CIU,N,Y,N
A1CIW,N,Y,N
A1CIZ,N,Y,N
A1CJ0,N,Y,N
A1CJ1,N,Y,N
A1CJ3,N,Y,N
A1CJ4,N,Y,N
A1CJ5,N,Y,N
A1CJ6,N,Y,N
A1CJ7,N,Y,N
A1CJ8,N,Y,N
A1CJB,N,Y,N
A1CJC,N,Y,N
A1CJD,N,Y,N
A1CJE,N,Y,N
A1CJF,N,Y,N
A1CJI,N,Y,N
A1CJR,N,Y,N
A1CJS,N,Y,N
A1CJT,N,Y,N
A1CJV,N,Y,N
A1CJW,N,Y,N
A1CJX,N,Y,N
A1CJY,N,Y,N
A1CJZ,N,Y,N
A1CK0,N,Y,N
A1CK1,N,Y,N
A1CK4,N,Y,N
A1CK6,N,Y,N
A1CKA,N,Y,N
A1CKB,N,Y,N
A1CKC,N,Y,N
A1CKD,N,Y,N
A1CKE,N,Y,N
A1CKF,N,Y,N
A1CKH,N,Y,N
A1CKI,N,Y,N
A1CKJ,N,Y,N
A1CKK,N,Y,N
A1CKL,N,Y,N
A1CKM,N,Y,N
A1CKN,N,Y,N
A1CKU,N,Y,N
A1CKV,N,Y,N
A1CKW,N,Y,N
A1CKX,N,Y,N
A1CKY,N,Y,N
A1CKZ,N,Y,N
A1CL0,N,Y,N
A1CL1,N,Y,N
A1CL3,N,Y,N
A1CL4,N,Y,N
A1CL5,N,Y,N
A1CL6,N,Y,N
A1CL7,N,Y,N
A1CL8,N,Y,N
A1CL9,N,Y,N
A1CLR,N,Y,N
A1CLS,N,Y,N
A1CLT,N,Y,N
A1CLU,N,Y,N
A1CLV,N,Y,N
A1CLW,N,Y,N
A1CLX,N,Y,N
A1CLY,N,Y,N
A1CLZ,N,Y,N
A1CM0,N,Y,N
A1CM4,N,Y,N
A1CM5,N,Y,N
A1CM6,N,Y,N
A1CM7,N,Y,N
A1CMA,N,Y,N
A1CMB,N,Y,N
A1CMC,N,Y,N
A1CMD,N,Y,N
A1CME,N,Y,N
A1CMG,N,Y,N
A1CMH,N,Y,N
A1CMI,N,Y,N
A1CMV,N,Y,N
A1CMW,N,Y,N
A1CMX,N,Y,N
A1CMY,N,Y,N
A1CMZ,N,Y,N
A1CN2,N,Y,N
A1CN3,N,Y,N
A1CN4,N,Y,N
A1CN5,N,Y,N
A1CN6,N,Y,N
A1CN7,N,Y,N
A1CN8,N,Y,N
A1CN9,N,Y,N
A1CNG,N,Y,N
A1CNI,N,Y,N
A1CNJ,N,Y,N
A1CNK,N,Y,N
A1CNO,N,Y,N
A1CNP,N,Y,N
A1CNT,N,Y,N
A1CNU,N,Y,N
A1CNV,N,Y,N
A1CNY,N,Y,N
A1CNZ,N,Y,N
A1COA,N,Y,N
A1COE,N,Y,N
A1COK,N,Y,N
A1CRA,N,Y,N
A1CRB,N,Y,N
A1CRO,N,Y,N
A1CRT,N,Y,N
A1CRY,N,Y,N
A1CRZ,N,Y,N
A1CS0,N,Y,N
A1CS1,N,Y,N
A1CS2,N,Y,N
A1CS3,N,Y,N
A1CS4,N,Y,N
A1CS5,N,Y,N
A1CSV,N,Y,N
A1CSW,N,Y,N
A1CSX,N,Y,N
A1CTD,N,Y,N
A1CTT,N,Y,N
A1CU7,N,Y,N
A1CU8,N,Y,N
A1CVG,N,Y,N
A1CVQ,N,Y,N
A1CVS,N,Y,N
A1CWA,N,Y,N
A1CX8,N,Y,N
A1CX9,N,Y,N
A1CXF,N,Y,N
A1CY9,N,Y,N
A1CYA,N,Y,N
A1CYB,N,Y,N
A1CYC,N,Y,N
A1CYD,N,Y,N
A1CYE,N,Y,N
A1CYF,N,Y,N
A1CYM,N,Y,N
A1CYY,N,Y,N
A1CYZ,N,Y,N
A1CZD,N,Y,N
A1CZS,N,Y,N
A1D46,N,Y,N
A1D47,N,Y,N
A1D48,N,Y,N
A1D49,N,Y,N
A1D50,N,Y,N
A1D51,N,Y,N
A1D52,N,Y,N
A1D54,N,Y,N
A1D55,N,Y,N
A1D59,N,Y,N
A1D5A,N,Y,N
A1D5B,N,Y,N
A1D5C,N,Y,N
A1D5D,N,Y,N
A1D5E,N,Y,N
A1D5F,N,Y,N
A1D5H,N,Y,N
A1D5I,N,Y,N
A1D5J,N,Y,N
A1D5K,N,Y,N
A1D5L,N,Y,N
A1D5M,N,Y,N
A1D5N,N,Y,N
A1D5P,N,Y,N
A1D5Q,N,Y,N
A1D5S,N,Y,N
A1D5U,N,Y,N
A1D5V,N,Y,N
A1D5X,N,Y,N
A1D5Y,N,Y,N
A1D5Z,N,Y,N
A1D60,N,Y,N
A1D61,N,Y,N
A1D62,N,Y,N
A1D63,N,Y,N
A1D64,N,Y,N
A1D65,N,Y,N
A1D66,N,Y,N
A1D67,N,Y,N
A1D68,N,Y,N
A1D69,N,Y,N
A1D6B,N,Y,N
A1D6C,N,Y,N
A1D6D,N,Y,N
A1D6E,N,Y,N
A1D6F,N,Y,N
A1D6G,N,Y,N
A1D6H,N,Y,N
A1D6I,N,Y,N
A1D6J,N,Y,N
A1D6K,N,Y,N
A1D6L,N,Y,N
A1D6O,N,Y,N
A1D6P,N,Y,N
A1D6Q,N,Y,N
A1D6R,N,Y,N
A1D6S,N,Y,N
A1D6T,N,Y,N
A1D6U,N,Y,N
A1D6W,N,Y,N
A1D6X,N,Y,N
A1D6Y,N,Y,N
A1D6Z,N,Y,N
A1D70,N,Y,N
A1D71,N,Y,N
A1D72,N,Y,N
A1D73,N,Y,N
A1D74,N,Y,N
A1D75,N,Y,N
A1D76,N,Y,N
A1D78,N,Y,N
A1D79,N,Y,N
A1D7A,N,Y,N
A1D7B,N,Y,N
A1D7D,N,Y,N
A1D7F,N,Y,N
A1D7G,N,Y,N
A1D7M,N,Y,N
A1D7N,N,Y,N
A1D7O,N,Y,N
A1D7P,N,Y,N
A1D7Q,N,Y,N
A1D7R,N,Y,N
A1D7S,N,Y,N
A1D7T,N,Y,N
A1D7U,N,Y,N
A1D7V,N,Y,N
A1D7W,N,Y,N
A1D7X,N,Y,N
A1D7Y,N,Y,N
A1D7Z,N,Y,N
A1D80,N,Y,N
A1D81,N,Y,N
A1D82,N,Y,N
A1D83,N,Y,N
A1D84,N,Y,N
A1D85,N,Y,N
A1D86,N,Y,N
A1D87,N,Y,N
A1D88,N,Y,N
A1D8A,N,Y,N
A1D8D,N,Y,N
A1D8E,N,Y,N
A1D8F,N,Y,N
A1D8G,N,Y,N
A1D8H,N,Y,N
A1D8I,N,Y,N
A1D8J,N,Y,N
A1D8K,N,Y,N
A1D8L,N,Y,N
A1D8M,N,Y,N
A1D8N,N,Y,N
A1D8O,N,Y,N
A1D8P,N,Y,N
A1D8Q,N,Y,N
A1D8R,N,Y,N
A1D8S,N,Y,N
A1D8T,N,Y,N
A1D8V,N,Y,N
A1D8X,N,Y,N
A1D8Y,N,Y,N
A1D8Z,N,Y,N
A1D90,N,Y,N
A1D91,N,Y,N
A1D92,N,Y,N
A1D93,N,Y,N
A1D94,N,Y,N
A1D95,N,Y,N
A1D96,N,Y,N
A1D97,N,Y,N
A1D98,N,Y,N
A1D99,N,Y,N
A1D9A,N,Y,N
A1D9C,N,Y,N
A1D9D,N,Y,N
A1D9E,N,Y,N
A1D9F,N,Y,N
A1D9G,N,Y,N
A1D9H,N,Y,N
A1D9I,N,Y,N
A1D9K,N,Y,N
A1D9M,N,Y,N
A1D9O,N,Y,N
A1D9Q,N,Y,N
A1D9R,N,Y,N
A1D9S,N,Y,N
A1D9X,N,Y,N
A1D9Y,N,Y,N
A1D9Z,N,Y,N
A1E1C,N,Y,N
A1E1G,N,Y,N
A1E1J,N,Y,N
A1E1K,N,Y,N
A1EA5,N,Y,N
A1EA6,N,Y,N
A1EAA,N,Y,N
A1EAB,N,Y,N
A1EAC,N,Y,N
A1EAD,N,Y,N
A1EAE,N,Y,N
A1EAG,N,Y,N
A1EAH,N,Y,N
A1EAI,N,Y,N
A1EAJ,N,Y,N
A1EAK,N,Y,N
A1EAM,N,Y,N
A1EAN,N,Y,N
A1EAP,N,Y,N
A1EAS,N,Y,N
A1EAT,N,Y,N
A1EAU,N,Y,N
A1EAV,N,Y,N
A1EAW,N,Y,N
A1EAX,N,Y,N
A1EAY,N,Y,N
A1EB0,N,Y,N
A1EB1,N,Y,N
A1EB3,N,Y,N
A1EB4,N,Y,N
A1EB5,N,Y,N
A1EB6,N,Y,N
A1EB7,N,Y,N
A1EBA,N,Y,N
A1EBC,N,Y,N
A1EBD,N,Y,N
A1EBE,N,Y,N
A1EBI,N,Y,N
A1EBK,N,Y,N
A1EBL,N,Y,N
A1EBM,N,Y,N
A1EBN,N,Y,N
A1EBO,N,Y,N
A1EBP,N,Y,N
A1EBT,N,Y,N
A1EBV,N,Y,N
A1EBW,N,Y,N
A1EBX,N,Y,N
A1EBZ,N,Y,N
A1EC0,N,Y,N
A1EC3,N,Y,N
A1EC4,N,Y,N
A1EC5,N,Y,N
A1EC7,N,Y,N
A1EC8,N,Y,N
A1ECB,N,Y,N
A1ECD,N,Y,N
A1ECE,N,Y,N
A1ECF,N,Y,N
A1ECH,N,Y,N
A1ECI,N,Y,N
A1ECK,N,Y,N
A1ECL,N,Y,N
A1ECM,N,Y,N
A1ECN,N,Y,N
A1ECQ,N,Y,N
A1ECR,N,Y,N
A1ECS,N,Y,N
A1ECU,N,Y,N
A1ECV,N,Y,N
A1ECX,N,Y,N
A1ECY,N,Y,N
A1ECZ,N,Y,N
A1ED0,N,Y,N
A1ED1,N,Y,N
A1ED2,N,Y,N
A1ED3,N,Y,N
A1ED4,N,Y,N
A1ED5,N,Y,N
A1ED7,N,Y,N
A1ED8,N,Y,N
A1ED9,N,Y,N
A1EDD,N,Y,N
A1EDJ,N,Y,N
A1EDK,N,Y,N
A1EDL,N,Y,N
A1EDM,N,Y,N
A1EDN,N,Y,N
A1EDO,N,Y,N
A1EDR,N,Y,N
A1EDS,N,Y,N
A1EDX,N,Y,N
A1EDY,N,Y,N
A1EDZ,N,Y,N
A1EE0,N,Y,N
A1EE1,N,Y,N
A1EE3,N,Y,N
A1EE4,N,Y,N
A1EE6,N,Y,N
A1EE7,N,Y,N
A1EE8,N,Y,N
A1EEA,N,Y,N
A1EEB,N,Y,N
A1EEC,N,Y,N
A1EEE,N,Y,N
A1EEF,N,Y,N
A1EEG,N,Y,N
A1EEK,N,Y,N
A1EEL,N,Y,N
A1EEN,N,Y,N
A1EEQ,N,Y,N
A1EER,N,Y,N
A1EEW,N,Y,N
A1EEX,N,Y,N
A1EEY,N,Y,N
A1EEZ,N,Y,N
A1EF0,N,Y,N
A1EF1,N,Y,N
A1EF2,N,Y,N
A1EF3,N,Y,N
A1EF4,N,Y,N
A1EF5,N,Y,N
A1EF6,N,Y,N
A1EF7,N,Y,N
A1EF8,N,Y,N
A1EF9,N,Y,N
A1EFA,N,Y,N
A1EFB,N,Y,N
A1EFC,N,Y,N
A1EFD,N,Y,N
A1EFE,N,Y,N
A1EFF,N,Y,N
A1EFG,N,Y,N
A1EFK,N,Y,N
A1EFL,N,Y,N
A1EFM,N,Y,N
A1EFN,N,Y,N
A1EFO,N,Y,N
A1EFP,N,Y,N
A1EFQ,N,Y,N
A1EFR,N,Y,N
A1EFT,N,Y,N
A1EFU,N,Y,N
A1EFV,N,Y,N
A1EFW,N,Y,N
A1EFY,N,Y,N
A1EFZ,N,Y,N
A1EG0,N,Y,N
A1EG1,N,Y,N
A1EG2,N,Y,N
A1EG3,N,Y,N
A1EG5,N,Y,N
A1EG7,N,Y,N
A1EG8,N,Y,N
